productcode,vendor_partno,productname,displaybegindate,displayenddate,hideproduct,stockstatus,lastmodified,options_cloned_from,photos_cloned_from,share_stockstatus_with,lastmodby,ischildofproductcode,ischildofproductcode_productid,options_cloned_from_productid,photos_cloned_from_productid,share_stockstatus_with_productid,productpopularity,homepage_section,autodropship,donotallowbackorders,warehouselocation,warehouseaisle,warehousebin,warehousecustom,upc_code,productkeywords,productnameshort,productweight,freeshippingitem,minqty,maxqty,recurringstartprice,recurringstartduration,recurringprice,recurringhowoften,recurringduration,allowpriceedit,productprice,listprice,saleprice,taxableproduct,selectedoptionids,giftwrapcost,downloadfile,availability,metatag_title,metatag_description,discountedprice_level1,discountedprice_level2,discountedprice_level3,discountedprice_level4,discountedprice_level5,photo_subtext,photo_alttext,discountedrecurringprice_level1,discountedrecurringprice_level2,discountedrecurringprice_level3,discountedrecurringprice_level4,discountedrecurringprice_level5,fixed_shippingcost,fixed_shippingcost_outside_localregion,uses_product_keytypes,price_subtext,price_subtext_short,listprice_name,productprice_name,saleprice_name,hide_yousave,hide_freeaccessories,setupcost,setupcost_name,discountedsetupcost_level1,discountedsetupcost_level2,discountedsetupcost_level3,discountedsetupcost_level4,discountedsetupcost_level5,setupcost_title,stockreorderqty,warehouses,affiliate_commissionable_value,addtocartbtn_replacement_text,book_isbn,productcondition,estship_ground,estship_2ndday,estship_overnight,customfield1,customfield2,customfield3,customfield4,customfield5,shoppingdotcom_category,yahoo_category,yahoo_medium,productmanufacturer,hide_when_outofstock,stocklowqtyalarm,addtopo_now,lastpo_qty,lastpo_date,howtogetsaleprice,inv_verify_qtyonhand,inv_lastverified,enablemultichildaddtocart,vendor_price,enableoptions_inventorycontrol,photourl_small,photourl_large,private_section_customers_only,quickbooks_item_accnt,quickbooks_item_assetaccnt,quickbooks_item_cogsaccnt,vat_percentage,recurring_pricing_text,google_product_type,length,width,height,ships_by_itself,package_type,oversized,additional_handling_indicator,reward_points_given_for_purchase,productdescriptionshort,productdescription,productfeatures,techspecs,extinfo,orderfinished_note,metatag_keywords,productdescription_abovepricing,custom_metatags_override,ean,google_product_category,google_size,google_color,google_gender,google_age_group,google_availability,google_pattern,google_material,estdaystoship,google_unique_identifier_exists,google_adult_product,google_sizetype,google_sizesystem,nonshippable,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,createddate,mpn,categoryids,optionids,accessories,freeaccessories,producturl,photourl,categorytree,numproductssharingstock,photoseed
1573-60,,Laminate Frosty White,,,,,3/12/2018 15:17,,,,1,,,,,,,,N,N,,,,,,,,1,Y,,,,,,,,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,N,,,,,,N,,N,,,,,,,,,,,,,N,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479,,,,https://www.salondesign.luxury/ProductDetails.asp?ProductCode=1573-60,http://www.salondesign.luxury/v/vspfiles/photos/1573-60-1.jpg,Lifestyle Products > Color Stories & Samples > Angel Blush,0,
1573SL,,Solid Surface Frosty White,,,,,3/12/2018 15:09,,,,1,,,,,,,,N,N,,,,,,,,1,Y,,,,,,,,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,N,,,,,,N,,N,,,,,,,,,,,,,N,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479,,,,https://www.salondesign.luxury/ProductDetails.asp?ProductCode=1573SL,http://www.salondesign.luxury/v/vspfiles/photos/1573SL-1.jpg,Lifestyle Products > Color Stories & Samples > Angel Blush,0,
410134,,Steamer Blu Stream (110V),,,,,3/13/2018 09:26,,,,1,,,,,,,,N,N,,,,,,,,52,Y,,,,,,,,N,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,N,,,,,,N,,N,,,,,,,,,,,,,N,,N,N,,,"<span style=""color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">This CSA-US certiﬁ ed device is equipped with a 360° double rotating arm and nozzle, as well as a stable and ergonomic pneumatic base for precise height adjustments. The steel-built 700 W BLU STREAM VAPO is ready to go in 7 minutes. It generates a very thick plume of steam, making it easier to perform extractions. </span><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">Ready to use in 7 minutes</li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">20-minute timer with audible signal</li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">Versatile positioning thanks to three rotational axes (360°column, 360°arm and 360° nozzle)</li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">Fixed arm angle to facilitate the constant diffusion of steam</li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">Generates a signiﬁ cant amount of steam and a steady and highly visible plume of steam</li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">Constant temperature monitoring and control</li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">Clear water jar to visually monitor the water level</li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">500 ml jar with ability to add water during treatment</li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">Quiet ozone (O3) generator; controlled ozone levels (low noise)</li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">Ability to activate or deactivate the emission of ozone (ON/OFF switch)</li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">Sturdy design</li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">Biocompatible container</li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">Electrostatic paint</li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">Components made from high quality raw materials (non-toxic)</li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">Safety systems (automatic shut-off feature when water level is too low and in the event of overheating or overloading)</li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">LED user interface</li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">Casing made mostly of 18 Ga (0.0478’’) steel; •</li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">700 W heating element</li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">CSA-US certiﬁed</li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">2-year warranty<p style=""box-sizing: border-box; margin-bottom: 1.5em; color: rgb(97, 97, 97); font-family: Arial, Helvetica, sans-serif; font-size: 1em;""></p><p style=""box-sizing: border-box; margin-bottom: 1.5em; color: rgb(97, 97, 97); font-family: Arial, Helvetica, sans-serif; font-size: 1em;"">Please add the ''Heigjt Extender, Extension for Stool Lift'' - 413364R to your order if your bed is high.</p></li>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415,"514,515,516,520",,,https://www.salondesign.luxury/ProductDetails.asp?ProductCode=410134,http://www.salondesign.luxury/v/vspfiles/photos/410134-1.png,Skincare & Facial > Premium Steamer,0,
410152,,Accessories for Pneumatic Base,,,,,3/13/2018 09:50,,,,1,,,,,,,,N,N,,,,,,,,5,Y,,,,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,N,,,,,,N,,N,,,,,,,,,,,,,N,,N,N,,,Choose from a variety of attachments for the Blu Stream Pneumatic Adjustable Base:<br /><br />Handle $20<br />Height Extender (for facial tables that sit up higher) $19.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415,,,,https://www.salondesign.luxury/ProductDetails.asp?ProductCode=410152,http://www.salondesign.luxury/v/vspfiles/photos/410152-1.png,Skincare & Facial > Premium Steamer,0,
410305,,Accessories for Modulex Base,,,,,3/13/2018 10:05,,,,1,,,,,,,,N,N,,,,,,,,15,Y,,,,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,N,,,,,,N,,N,,,,,,,,,,,,,N,,N,N,,,Choose from a variety of accessories to enhance the Modulex base for your Blu Stream steamer.  Accessories:<br />,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415,"517,518,519",,,https://www.salondesign.luxury/ProductDetails.asp?ProductCode=410305,http://www.salondesign.luxury/v/vspfiles/photos/410305-1.png,Skincare & Facial > Premium Steamer,0,1520928270
410306,,Accessories for Primus Base,,,,,3/13/2018 10:15,,,,1,,,,,,,,N,N,,,,,,,,15,Y,,,,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,N,,,,,,N,,N,,,,,,,,,,,,,N,,N,N,,,Choose from a variety of accessories to enhance the Primus base for your Blu Stream steamer.  Accessories:<br /> <br />Double Bowl Holder $49.95<br />Single Bowl Holder $34.95<br />Small Stainless Steel Bowl $4.50<br />Large Stainless Steel Bowl $4.95<br />Set of 1 Small & 1 Large Stainless Steel Bowls $9.45<br />Stainless Tray and Support $90.95<br /><br /><br />,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415,"517,518,519",,,https://www.salondesign.luxury/ProductDetails.asp?ProductCode=410306,http://www.salondesign.luxury/v/vspfiles/photos/410306-1.png,Skincare & Facial > Premium Steamer,0,
411654,,Minipil Premium Large Tank Wax Warmer,,,,,3/13/2018 17:08,,,,1,,,,,,,,N,N,,,,,,,,5,Y,,,,,,,,N,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,N,,,,,,N,,N,,,,,,,,,,,,,N,,N,N,,,"<p style=""box-sizing: border-box; margin-bottom: 1.5em; color: rgb(97, 97, 97); font-family: Arial, Helvetica, sans-serif; font-size: 14px; letter-spacing: normal; background-color: rgb(251, 251, 251);"">Safe, professional wax warmer for warm and hot wax.<br style=""box-sizing: border-box; margin: 0px; padding: 0px;"" /><br style=""box-sizing: border-box; margin: 0px; padding: 0px;"" />Heating elements located on the bottom and sides of the tank provide even heat distribution to ensure perfect wax consistency<br style=""box-sizing: border-box; margin: 0px; padding: 0px;"" />Adjustable thermostat (6 levels)<br style=""box-sizing: border-box; margin: 0px; padding: 0px;"" />Designed to provide you with years of reliable, efficient service<br style=""box-sizing: border-box; margin: 0px; padding: 0px;"" />Low maintenance<br style=""box-sizing: border-box; margin: 0px; padding: 0px;"" />Extremely resistant enamel paint<br style=""box-sizing: border-box; margin: 0px; padding: 0px;"" />Sturdy metal construction<br style=""box-sizing: border-box; margin: 0px; padding: 0px;"" />Automatic shut-off feature prevents overheating</p><p style=""box-sizing: border-box; margin-bottom: 1.5em; color: rgb(97, 97, 97); font-family: Arial, Helvetica, sans-serif; font-size: 14px; letter-spacing: normal; background-color: rgb(251, 251, 251);""> </p><p style=""box-sizing: border-box; margin-bottom: 1.5em; color: rgb(97, 97, 97); font-family: Arial, Helvetica, sans-serif; font-size: 14px; letter-spacing: normal; background-color: rgb(251, 251, 251);"">*Please note technical information on the additional tab. This unit is intended for use with the standard wax can size available in the USA. This unit will not hold more than 14 oz. of wax. <br /><br /><span style=""font-family: Arial, Helvetica, sans-serif;"">Diameter of tank: 3.6"" (9.20 cm)</span><span style=""font-family: Arial, Helvetica, sans-serif;""> <br /></span><span style=""font-family: Arial, Helvetica, sans-serif;"">Depth of tank: 2.5"" (6.35 cm)</span><span style=""font-family: Arial, Helvetica, sans-serif;""> <br /></span><span style=""font-family: Arial, Helvetica, sans-serif;"">Width of device: 7"" (17.8 cm)</span><span style=""font-family: Arial, Helvetica, sans-serif;""> <br /></span><span style=""font-family: Arial, Helvetica, sans-serif;"">Height of device: 4.6"" (11.8 cm)</span></p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418,,,,https://www.salondesign.luxury/ProductDetails.asp?ProductCode=411654,http://www.salondesign.luxury/v/vspfiles/photos/411654-1.jpg,Make-up & Waxing > Wax Warmers,0,
411664,,Wax Warmer 4,,,,,3/13/2018 17:04,,,,1,,,,,,,,N,N,,,,,,,,5,Y,,,,,,,,N,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,N,,,,,,N,,N,,,,,,,,,,,,,N,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418,,,,https://www.salondesign.luxury/ProductDetails.asp?ProductCode=411664,http://www.salondesign.luxury/v/vspfiles/photos/411664-1.jpg,Make-up & Waxing > Wax Warmers,0,
412000,,"Laguna Mist 29""",,,,,3/15/2018 16:14,,,,1,,,,,,,,N,N,,,,,,,,279,Y,,,,,,,,N,3295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,N,,,,,,N,,N,,,,,,,,,,,,,N,,N,N,,,"<p style=""box-sizing: border-box; margin-bottom: 0px; color: rgb(97, 97, 97); font-family: Arial, Helvetica, sans-serif; font-size: 14px; letter-spacing: normal; background-color: rgb(251, 251, 251);""><span style=""font-family: Arial, Helvetica, sans-serif;"">Maintaining sophistication while promoting absolute relaxation, the Laguna Mist is one our most versatile beds. Built with comfort for both practitioners and clients in mind, the Laguna Mist can be adjusted to suit practically any body type. Features a handheld electronic control for accurate positioning of the backrest, seat, footrest, and height. The noiseless system with 3 quiet motors ensures a soothing atmosphere. Extra thick, high density foam insures a comfortable experience and fantastic support for body work. Sold in a variety of upholstery options.</span></p><p style=""box-sizing: border-box; margin-bottom: 1.5em; color: rgb(97, 97, 97); font-family: Arial, Helvetica, sans-serif; font-size: 14px; letter-spacing: normal; background-color: rgb(251, 251, 251);"">KEY FEATURES:<br style=""box-sizing: border-box; margin: 0px; padding: 0px;"" /></p><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">Rounded cushions at each end for better ergonomics</li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">Smooth quiet motor operation</li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">Handheld electronic control for easy and accurate positioning (backrest, seat, footrest and height)</li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">Electrically adjustable height – min.: 18"""" (45.7 cm) max.: 30"""" (76.2 cm)</li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">Luxurious upholstery system that combines high quality, fire-resistant, easy maintenance fabric with extra thick, high density, ultra comfortable 4"""" (10.2 cm) foam padding</li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">Stability and power to lift clients of all sizes 600 lb. (272 kg)</li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">Structurally reinforced backrest</li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">Easily accessible for people with disabilities when in a low position 29"""" (73.66 cm)</li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">14-gauge steel base with adjustable feet for rock-solid stability</li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">No welding on hinges<p style=""box-sizing: border-box; margin-bottom: 1.5em; color: rgb(97, 97, 97); font-family: Arial, Helvetica, sans-serif; font-size: 1em;""></p><p style=""box-sizing: border-box; margin-bottom: 1.5em; color: rgb(97, 97, 97); font-family: Arial, Helvetica, sans-serif; font-size: 1em;"">*The Electric Footswitch does not come with the bed. It comes in options (See ''Related Products'').</p></li><p style=""box-sizing: border-box; margin-bottom: 0px; color: rgb(97, 97, 97); font-family: Arial, Helvetica, sans-serif; font-size: 14px; letter-spacing: normal; background-color: rgb(251, 251, 251);"">TREATMENT TYPES:  <span style=""color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif;"">Body Treatments, Facials, IPL/Laser, Massage, Waxing</span><br /><br />DIMENSIONS:</p><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">Length: 194.3 cm (76.5 in)</li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">Width: 73.66 cm (29 in)</li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">Height: 45.7 cm (18 in) to 76.2 cm (30 in)</li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">Cushion padding: 10.2 cm (4 in)</li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">Lift capacity: 272 kg (600 lb)</li>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"375,481,484,483,408,000","499,500,501,502,503,000,000,000,000,000,000,000,000,000,000",,,https://www.salondesign.luxury/ProductDetails.asp?ProductCode=412000,http://www.salondesign.luxury/v/vspfiles/photos/412000-1.jpg,Spa Furniture & Massage > Spa Massage & Body Tables,0,1521123217
412003,,Laguna Mist Flex,,,,,3/15/2018 16:42,,,,1,,,,,,,,N,N,,,,,,,,279,Y,,,,,,,,N,3150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,N,,,,,,N,,N,,,,,,,,,,,,,N,,N,N,,,"<p style=""box-sizing: border-box; margin-bottom: 0px; color: rgb(97, 97, 97); font-family: Arial, Helvetica, sans-serif; font-size: 14px; letter-spacing: normal; background-color: rgb(251, 251, 251);""><br />TREATMENT TYPES: <span style=""background-color: initial; color: rgb(99, 99, 99);"">Facials, Injections, IPL/Laser, MediSpa Treatments, Waxing</span></p><p style=""box-sizing: border-box; margin-bottom: 0px; color: rgb(97, 97, 97); font-family: Arial, Helvetica, sans-serif; font-size: 14px; letter-spacing: normal; background-color: rgb(251, 251, 251);"">DIMENSIONS :</p><br style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"" /><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">Length: 194.3 cm (76.5 in) without headrest<p style=""box-sizing: border-box; margin-bottom: 0px; color: rgb(97, 97, 97); font-family: Arial, Helvetica, sans-serif; font-size: 1em;""></p></li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">Width: 68.6 cm (27 in)<p style=""box-sizing: border-box; margin-bottom: 0px; color: rgb(97, 97, 97); font-family: Arial, Helvetica, sans-serif; font-size: 1em;""></p></li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">Height: 45.7 cm (18 in) to 76.2 cm (30 in)<p style=""box-sizing: border-box; margin-bottom: 0px; color: rgb(97, 97, 97); font-family: Arial, Helvetica, sans-serif; font-size: 1em;""></p></li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">Cushion padding: 10.2 cm (4 in)<p style=""box-sizing: border-box; margin-bottom: 0px; color: rgb(97, 97, 97); font-family: Arial, Helvetica, sans-serif; font-size: 1em;""></p></li><li style=""box-sizing: border-box; margin: 0px; padding: 0px; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; background-color: rgb(251, 251, 251);"">Lift capacity: 272 kg (600 lb)</li>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"482,483,408,410","499,500,501,502,503,000,000,000,000,000,000,000,000,000,000",,,https://www.salondesign.luxury/ProductDetails.asp?ProductCode=412003,http://www.salondesign.luxury/v/vspfiles/photos/412003-1.jpg,Spa Furniture & Massage > Medical Spa Chairs,0,1521123180
412012,,"Laguna Mist 32""",,,,,3/15/2018 16:14,,,,1,,,,,,,,N,N,,,,,,,,279,Y,,,,,,,,N,3295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,N,,,,,,N,,N,,,,,,,,,,,,,N,,N,N,,,"<p style=""box-sizing: border-box; margin-bottom: 1.5em; color: rgb(97, 97, 97); font-family: Arial, Helvetica, sans-serif; font-size: 14px; letter-spacing: normal; background-color: rgb(251, 251, 251);"">Maintaining sophistication while promoting absolute relaxation, the Laguna Mist is one our most versatile beds. Built with comfort for both practitioners and clients in mind, the Laguna Mist can be adjusted to suit practically any body type. Features a handheld electronic control for accurate positioning of the backrest, seat, footrest, and height. The noiseless system with 3 quiet motors ensures a soothing atmosphere. Extra thick, high density foam insures a comfortable experience and fantastic support for body work. Sold in a variety of upholstery options.</p><p style=""box-sizing: border-box; margin-bottom: 1.5em; color: rgb(97, 97, 97); font-family: Arial, Helvetica, sans-serif; font-size: 14px; letter-spacing: normal; background-color: rgb(251, 251, 251);"">Rounded cushions at each end for better ergonomics <br style=""box-sizing: border-box; margin: 0px; padding: 0px;"" />Smooth quiet motor operation <br style=""box-sizing: border-box; margin: 0px; padding: 0px;"" />Handheld electronic control for easy and accurate positioning (backrest, seat, footrest and height) <br style=""box-sizing: border-box; margin: 0px; padding: 0px;"" />Electrically adjustable height – 45.7 cm (18 in) to 76.2 cm (30 in) <br style=""box-sizing: border-box; margin: 0px; padding: 0px;"" />Luxurious upholstery system that combines high quality, fire-resistant, easy maintenance fabric with extra thick, high density, ultra comfortable 4"""" (10.2 cm) foam padding <br style=""box-sizing: border-box; margin: 0px; padding: 0px;"" />Stability and power to lift clients of all sizes 600 lb. (272 kg) <br style=""box-sizing: border-box; margin: 0px; padding: 0px;"" />Structurally reinforced backrest <br style=""box-sizing: border-box; margin: 0px; padding: 0px;"" />Easily accessible for people with disabilities when in a low position 27"""" (68.6 cm) <br style=""box-sizing: border-box; margin: 0px; padding: 0px;"" />14-gauge steel base with adjustable feet for rock-solid stability <br style=""box-sizing: border-box; margin: 0px; padding: 0px;"" />No welding on hinges</p><p style=""box-sizing: border-box; margin-bottom: 1.5em; color: rgb(97, 97, 97); font-family: Arial, Helvetica, sans-serif; font-size: 14px; letter-spacing: normal; background-color: rgb(251, 251, 251);"">The LAGUNA MIST is specifically designed for facials, laser, IPL, medi-spa treatments, body treatments, depilation, and massage.<br /><br />TREATMENT TYPES: <span style=""color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif;"">Body Treatments, Facials, Injections, IPL/Laser, Massage, MediSpa Treatments, Waxing </span><br /><br /><span style=""font-family: Arial, Helvetica, sans-serif;"">Dimensions</span></p><ul style=""box-sizing: border-box; margin-bottom: 0px; padding: 0px; list-style: none; color: rgb(99, 99, 99); font-family: Arial, Helvetica, sans-serif; font-size: 14px; letter-spacing: normal; background-color: rgb(251, 251, 251);""><li style=""box-sizing: border-box; margin: 0px; padding: 0px;"">Length:194.3 cm (76.3 in) without headrest </li><li style=""box-sizing: border-box; margin: 0px; padding: 0px;"">Width: 81.28 cm (32 in) </li><li style=""box-sizing: border-box; margin: 0px; padding: 0px;"">Height: 45.7 cm (18 in) to 76.2 cm (30 in) </li><li style=""box-sizing: border-box; margin: 0px; padding: 0px;"">Cushion padding: 10.2 cm (4 in) </li><li style=""box-sizing: border-box; margin: 0px; padding: 0px;"">Weight: 70 kg (150 lbs)  </li><li style=""box-sizing: border-box; margin: 0px; padding: 0px;"">Lift capacity: 272 kg (600 lbs) </li></ul>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"375,482,481,484,483,000,000","499,500,501,502,503,000,000,000,000,000,000,000,000,000,000",,,https://www.salondesign.luxury/ProductDetails.asp?ProductCode=412012,http://www.salondesign.luxury/v/vspfiles/photos/412012-1.jpg,Spa Furniture & Massage > Spa Massage & Body Tables,0,1521123258
